Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"14/04/2026 (23:33:18)","14/04/2026 (23:33:52)","","y.moghar","25716266","70000","10113","0","0","70000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 70000)","0->1000","s_cmh9_5702"
"14/04/2026 (23:23:17)","14/04/2026 (23:23:37)","","y.moghar","25715887","130000","130011","0","1","130000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (0 to 130000)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (23:21:20)","14/04/2026 (23:22:27)","","y.moghar","25715827","204855","204850","0","1","204920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (168000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (22:53:18)","14/04/2026 (22:54:52)","","y.moghar","25714845","168000","60732","0","2","168000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 168000)","0->1000","s_cmh9_5702"
"14/04/2026 (22:48:17)","14/04/2026 (22:48:23)","","y.moghar","25714740","25360","25373","0","0","25420","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (347500 to 372920)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (22:41:20)","14/04/2026 (22:42:20)","","y.moghar","25714518","168860","168862","0","0","168920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (204000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (22:13:19)","14/04/2026 (22:15:18)","","y.moghar","25713498","204000","86996","0","5","204000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 204000)","0->1000","s_cmh9_5702"
"14/04/2026 (22:11:18)","14/04/2026 (22:11:37)","","y.moghar","25713390","125000","125002","0","9","125000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (222500 to 347500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (21:59:16)","14/04/2026 (22:00:47)","","y.moghar","25712850","94874","94018","0","5","94920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (278000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (20:59:18)","14/04/2026 (21:00:18)","","y.moghar","25710677","84000","8253","0","0","84000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (194000 to 278000)","0->1000","s_cmh9_5702"
"14/04/2026 (20:29:18)","14/04/2026 (20:30:17)","","y.moghar","25709559","80000","36754","0","0","80000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (114000 to 194000)","0->1000","s_cmh9_5702"
"14/04/2026 (19:59:18)","14/04/2026 (20:00:55)","","y.moghar","25708333","114000","96982","0","0","114000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 114000)","0->1000","s_cmh9_5702"
"14/04/2026 (19:57:17)","14/04/2026 (19:57:35)","","y.moghar","25708277","112500","112508","0","0","112500","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (110000 to 222500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (19:29:18)","14/04/2026 (19:29:43)","","y.moghar","25707115","39874","39859","0","0","39920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (333000 to 372920)","0->1000","s_cmh9_5702"
"14/04/2026 (19:21:17)","14/04/2026 (19:21:40)","","y.moghar","25706796","110000","110018","0","0","110000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (0 to 110000)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (18:59:18)","14/04/2026 (19:00:54)","","y.moghar","25705684","102000","101834","0","0","102000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (231000 to 333000)","0->1000","s_cmh9_5702"
"14/04/2026 (18:45:18)","14/04/2026 (18:45:29)","","y.moghar","25705263","65374","65354","0","0","65420","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (307500 to 372920)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (18:29:18)","14/04/2026 (18:30:38)","","y.moghar","25704405","96000","95865","0","0","96000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (135000 to 231000)","0->1000","s_cmh9_5702"
"14/04/2026 (18:09:17)","14/04/2026 (18:09:32)","","y.moghar","25703713","105000","105008","0","0","105000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (202500 to 307500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"14/04/2026 (18:07:18)","14/04/2026 (18:08:49)","","y.moghar","25703577","135000","134604","0","0","135000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 135000)","0->1000","s_cmh9_5702"
"14/04/2026 (17:57:20)","14/04/2026 (17:58:19)","","y.moghar","25703151","204874","204867","0","0","204920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (168000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
