datetime_drop,server,ip,limit,outSum,by_ip,totalIps,error_type_from_error
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Rate limit SPF
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Other
2026-04-15 13:27:07,s_cmh2_6127,158.69.54.111,4000,3930.0,4000,1,Connection closed
2026-04-15 13:27:07,s_cmh2_6127,158.69.54.111,4000,3930.0,4000,1,Other
2026-04-15 13:27:07,s_cmh2_6127,158.69.54.111,4000,3930.0,4000,1,Connection closed
2026-04-15 13:27:07,s_cmh2_6127,158.69.54.111,4000,3930.0,4000,1,Other
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Connection closed
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Other
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Rate limit DKIM
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Rate limit SPF
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Connection closed
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Other
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Rate limit DKIM
2026-04-15 13:53:03,s_cmh2_6127,158.69.54.111,3930,759.0,3930,1,Rate limit SPF
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Connection closed
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit SPF
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit unsolicited
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit DKIM
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Connection closed
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit SPF
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit unsolicited
2026-04-15 14:17:11,s_cmh2_6127,158.69.54.111,3930,1946.0,3930,1,Rate limit DKIM
2026-04-16 12:51:41,s_cmh2_6127,158.69.54.111,12000,12008.0,6000,2,Other
2026-04-16 16:49:01,s_cmh2_6127,158.69.54.111,18000,16894.0,9000,2,Connection closed
2026-04-16 16:49:01,s_cmh2_6127,158.69.54.111,18000,16894.0,9000,2,Rate limit DKIM
2026-04-16 16:49:01,s_cmh2_6127,158.69.54.111,18000,16894.0,9000,2,Rate limit SPF
2026-04-17 01:23:00,s_cmh2_6127,51.161.79.216,15720,8738.0,3930,4,Rate limit DKIM
2026-04-17 01:23:00,s_cmh2_6127,51.161.79.216,15720,8738.0,3930,4,Rate limit SPF
2026-04-17 01:23:00,s_cmh2_6127,51.161.79.216,15720,8738.0,3930,4,Connection closed
2026-04-14 03:04:00,s_cmh2_6127,51.161.79.217,6432,2525.0,6432,1,Connection closed
2026-04-14 03:04:00,s_cmh2_6127,51.161.79.217,6432,2525.0,6432,1,Rate limit DKIM
2026-04-14 03:04:00,s_cmh2_6127,51.161.79.217,6432,2525.0,6432,1,Rate limit SPF
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Rate limit DKIM
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Connection closed
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Rate limit SPF
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Rate limit DKIM
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Connection closed
2026-04-14 10:54:11,s_cmh2_6127,51.161.79.217,12000,6162.0,6000,2,Rate limit SPF
2026-04-14 11:19:11,s_cmh2_6127,51.161.79.217,12000,6025.0,6000,2,Connection closed
2026-04-14 11:19:11,s_cmh2_6127,51.161.79.217,12000,6025.0,6000,2,Rate limit DKIM
2026-04-14 11:19:11,s_cmh2_6127,51.161.79.217,12000,6025.0,6000,2,Rate limit SPF
2026-04-14 11:19:11,s_cmh2_6127,51.161.79.217,12000,6025.0,6000,2,Connection closed
